url,doc_id,title,audience,category,language,document_version,license_or_permission
https://lug.com.vn/chinh-sach-doi-tra-hang,chinh-sach-doi-tra-hang,Chính sách đổi trả hàng,buyer,returns-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77251,shopee-nguoi-ban-tra-hang-hoan-tien,Chính sách trả hàng và hoàn tiền dành cho người bán Shopee,seller,seller-returns-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77246,shopee-quy-dinh-dang-ban-san-pham,Quy định về đăng bán sản phẩm trên Shopee,seller,seller-listing-policy,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77245,shopee-quy-che-hoat-dong-san,Quy chế hoạt động sàn thương mại điện tử Shopee,both,marketplace-regulation,vi,not-stated,public-source
https://lug.com.vn/chinh-sach-bao-hanh-bieu-phi-phu-kien,chinh-sach-bao-hanh-bieu-phi-phu-kien,Chính sách bảo hành và biểu phí phụ kiện,buyer,warranty-policy,vi,not-stated,public-source
https://degrey.vn/pages/chinh-sach-bao-hanh-va-hoan-tien,chinh-sach-bao-hanh-va-hoan-tien,Chính sách bảo hành và hoàn tiền,buyer,warranty-and-returns-policy,vi,not-stated,public-source
https://giaybq.com.vn/pages/chinh-sach-doi-tra,chinh-sach-doi-tra,Chính sách đổi trả,buyer,returns-policy,vi,not-stated,public-source
https://giaybq.com.vn/pages/chinh-sach-bao-hanh-tron-doi,chinh-sach-bao-hanh-tron-doi,Chính sách bảo hành trọn đời,buyer,warranty-policy,vi,not-stated,public-source
https://khanhvyhome.com/pages/chinh-sach-doi-tra-va-hoan-tien,chinh-sach-doi-tra-va-hoan-tien,Chính sách đổi trả và hoàn tiền,buyer,returns-policy,vi,not-stated,public-source
https://fujifilm-xspace.vn/pages/chinh-sach-tra-hang-va-hoan-tien,chinh-sach-tra-hang-va-hoan-tien,Chính sách trả hàng và hoàn tiền,buyer,returns-policy,vi,not-stated,public-source
https://pyloherb.com/2021/05/26/chinh-sach-nha-ban-hang/,chinh-sach-ban-hang-seller-pyloherb,Chính sách nhà bán hàng,seller,chinh-sach-ban-hang,vi,not-stated,public-source
https://smarthomekit.vn/quy-dinh-doi-tra-hang-va-hoan-tien/,doi-tra-hang-smarthomekit,Quy định đổi trả hàng và hoàn tiền,buyer,doi-tra-hang,vi,not-stated,public-source
https://xtrend.vn/chinh-sach-doi-tra-hang/,doi-tra-hang-xtrend,Chính sách kiểm hàng và đổi trả hàng hóa,buyer,doi-tra-hang,vi,not-stated,public-source
https://hiclean.com.vn/ho-tro-khach-hang/chinh-sach-doi-tra-hang-hoa,doi-tra-hang-hiclean,Chính sách đổi trả hàng hóa,buyer,doi-tra-hang,vi,not-stated,public-source
https://thegioinem.com/chinh-sach-doi-tra-va-hoan-tien,doi-tra-hang-thegioinem,Chính sách đổi trả và hoàn tiền,buyer,doi-tra-hang,vi,not-stated,public-source
